"GeneID","Chr","Start","End","Strand","Length","logFC","logCPM","F","PValue","FDR","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"Clu","NC_000080.7",66206093,66218992,"+",2013,2.44483928024227,8.5129241158035,166.878991899277,7.25521469317113e-08,0.000104640925060365,137.111336145549,121.541208527173,82.7350411806653,704.283558897397,547.984158835152,601.631859848899
"Nr2f1","NC_000079.7",78337090,78346794,"-",3189,1.61244540859424,6.95604918039175,134.136377711397,2.17255497297836e-07,0.000243712388968772,63.5180311217399,61.4102948347821,58.6743404291453,166.412992819638,194.711012959417,202.140640809104
"Saa1","NC_000073.7",46389921,46392404,"-",828,-3.11519507829122,5.54840912181016,136.958501911782,1.98347729405465e-07,0.000243712388968772,91.1155205056682,82.5200836842385,63.7397511136758,11.8866423442599,5.75095818867476,8.62211264114664
"Slpi","NC_000068.8",164195990,164231086,"-",1358,-2.09619123304603,7.09284251399491,118.297372546512,4.05472052230725e-07,0.00040936458393214,238.740185940333,232.20767734402,180.244196857878,57.0558832524474,36.9704454986234,57.4807509409776
"Apod","NC_000082.7",31115010,31133626,"-",2074,3.46362223582009,4.05218416623483,115.197935231893,4.859691356394e-07,0.000446031308492308,3.50444309637185,1.91907171358694,2.53270534226526,27.3392773917977,37.7920109541484,27.7823629548058
"Ptges","NC_000068.8",30779483,30793309,"-",3647,-1.47946392431394,7.5063877982866,107.57344632694,6.47204471705289e-07,0.00054451469552805,276.41294922633,248.199941623911,268.044648723074,108.762777449978,82.1565455524965,91.9692015055641
"Gm8292","NC_000067.7",55374547,55375037,"+",491,1.25242478853034,8.07666269566258,103.695699490345,7.74587321224597e-07,0.000601556430391041,149.814942369897,157.363880514129,171.37972815995,383.938547719594,355.73784224231,401.40724407116
"Ankrd1","NC_000085.7",36089365,36097244,"-",1765,1.74085075236599,7.41788361988948,98.4520866992398,9.97788038084445e-07,0.000675723589077206,66.5844188310652,86.997917682608,83.5792762947537,247.242160760605,322.875224021311,220.342878607081
"Cpxm1","NC_000068.8",130232695,130239549,"-",2421,2.20770201884525,5.49995943408515,97.0549139825462,1.07087732024914e-06,0.000675723589077206,19.7124924170917,17.2716454222825,11.8192915972379,78.4518394721151,83.7996764635464,61.3128010037094
"Prdx5","NC_000085.7",6884065,6887474,"-",1271,-1.17181258878404,9.54629064803801,97.4950203804291,1.04624345262385e-06,0.000675723589077206,1116.16512619444,985.123479641297,996.197434624337,480.220350708099,417.355251406682,477.090232810114
"Lmo4","NC_000069.7",143894291,143911016,"-",2049,-1.17001032102612,10.1045108506461,94.3241594742202,1.22843935866377e-06,0.000689017986948304,1493.7688698285,1581.95478256684,1487.96438858084,675.755617271174,598.9212170777,753.955849842489
"Penk","NC_000070.7",4133536,4138815,"-",1593,-2.54077412093215,6.90615685663726,95.313283285905,1.16857936371214e-06,0.000689017986948304,150.252997756943,178.473669363586,268.466766280118,26.1506131573717,44.3645345983481,33.5304380489036
